time,car_ID_TX,car_ID_RX,snr_values,distance_values,rel_speed_values,snr_values_norm,distance_values_norm,rel_speed_values_norm,composite_snr_db,use_nn,model_snr,accuracy,psnr
10,v1,v2,40.0,20.22,20.0,1.0,0.2022,0.4,9.1116,False,10.0,0.1455078125,17.164886116981506
10,v1,v5,40.0,110.0,20.0,1.0,1.1,0.4,-5.5991,True,10.0,0.1416015625,17.16369378566742
10,v1,v6,40.0,190.02,10.0,1.0,1.9002,0.2,-8.5865,True,10.0,0.15566406259313226,17.164966225624084
10,v1,v9,40.0,260.0,10.0,1.0,2.6,0.2,-11.3098,True,10.0,0.14492187509313226,17.163880228996277
10,v1,v10,40.0,280.02,0.0,1.0,2.8002,0.0,-8.9437,True,10.0,0.15312500018626451,17.16119086742401
10,v2,v1,20.0,20.22,20.0,0.6,0.2022,0.4,-10.8884,True,10.0,0.15058593731373549,17.160548210144043
10,v2,v5,20.0,130.03,40.0,0.6,1.3003,0.8,-29.2709,True,10.0,0.14453125,17.16690170764923
10,v2,v6,20.0,210.0,10.0,0.6,2.1,0.2,-29.4547,True,10.0,0.14374999981373549,17.156094074249268
10,v2,v9,20.0,280.02,30.0,0.6,2.8002,0.6,-30.0,True,10.0,0.14101562509313226,17.16563367843628
10,v2,v10,20.0,300.0,20.0,0.6,3.0,0.4,-30.0,True,10.0,0.1484375,17.162614464759827
10,v3,v4,20.0,50.09,30.0,0.6,0.5009,0.6,-20.0156,True,10.0,0.14374999981373549,17.16693127155304
10,v3,v7,20.0,100.0,30.0,0.6,1.0,0.6,-26.0206,True,10.0,0.15097656287252903,17.159606218338013
10,v3,v8,20.0,130.03,10.0,0.6,1.3003,0.2,-25.2915,True,10.0,0.1396484375,17.16009783744812
10,v3,v11,20.0,220.0,0.0,0.6,2.2,0.0,-26.8485,True,10.0,0.14902343787252903,17.16378927230835
10,v3,v15,20.0,220.0,50.0,0.6,2.2,1.0,-30.0,True,10.0,0.14960937481373549,17.158891201019287
10,v4,v3,40.0,50.09,30.0,1.0,0.5009,0.6,-0.0156,True,10.0,0.15410156268626451,17.156770944595337
10,v4,v7,40.0,50.09,0.0,1.0,0.5009,0.0,6.005,False,10.0,0.14609375037252903,17.164721965789795
10,v4,v8,40.0,80.0,20.0,1.0,0.8,0.4,-2.833,True,10.0,0.15800781268626451,17.16192388534546
10,v4,v12,40.0,170.0,20.0,1.0,1.7,0.4,-9.3802,True,10.0,0.150390625,17.16132915019989
10,v4,v16,40.0,170.0,20.0,1.0,1.7,0.4,-9.3802,True,10.0,0.14296875009313226,17.170589804649353
11,v1,v2,40.0,3.0,10.0,1.0,0.03,0.2,27.4473,False,10.0,0.14296875009313226,17.15530288219452
11,v1,v5,40.0,90.0,10.0,1.0,0.9,0.2,-2.0952,True,10.0,0.138671875,17.161004066467285
11,v1,v6,40.0,200.02,10.0,1.0,2.0002,0.2,-9.0319,True,10.0,0.13945312518626451,17.16904354095459
11,v1,v9,40.0,250.0,10.0,1.0,2.5,0.2,-10.9691,True,10.0,0.14765625004656613,17.15855836868286
11,v1,v10,40.0,280.02,0.0,1.0,2.8002,0.0,-8.9437,True,10.0,0.14414062537252903,17.169509053230286
11,v2,v1,20.0,3.0,10.0,0.6,0.03,0.2,7.4473,False,10.0,0.14765624981373549,17.15709948539734
11,v2,v5,20.0,90.05,20.0,0.6,0.9005,0.4,-23.8609,True,10.0,0.15097656287252903,17.16127872467041
11,v2,v6,20.0,200.0,0.0,0.6,2.0,0.0,-26.0206,True,10.0,0.14414062537252903,17.166022896766663
11,v2,v9,20.0,250.02,20.0,0.6,2.5002,0.4,-30.0,True,10.0,0.15175781259313226,17.169751048088074
11,v2,v10,20.0,280.0,10.0,0.6,2.8,0.2,-30.0,True,10.0,0.1328125,17.1621675491333
11,v3,v4,20.0,80.06,10.0,0.6,0.8006,0.2,-21.0782,True,10.0,0.14707031287252903,17.162636756896973
11,v3,v7,20.0,130.0,30.0,0.6,1.3,0.6,-28.2995,True,10.0,0.1484375,17.16217565536499
11,v3,v8,20.0,140.03,20.0,0.6,1.4003,0.4,-27.6958,True,10.0,0.14804687537252903,17.155230402946472
11,v3,v11,20.0,220.0,40.0,0.6,2.2,0.8,-30.0,True,10.0,0.15273437509313226,17.155361652374268
11,v3,v15,20.0,270.0,10.0,0.6,2.7,0.2,-30.0,True,10.0,0.14980468759313226,17.16737425327301
11,v4,v7,40.0,50.09,20.0,1.0,0.5009,0.4,1.2338,False,10.0,0.14414062537252903,17.157193422317505
11,v4,v8,40.0,60.0,10.0,1.0,0.6,0.2,1.4267,False,10.0,0.14453125,17.15677762031555
11,v4,v3,40.0,80.06,10.0,1.0,0.8006,0.2,-1.0782,True,10.0,0.13535156287252903,17.16490149497986
11,v4,v11,40.0,140.03,30.0,1.0,1.4003,0.6,-8.9452,True,10.0,0.14667968731373549,17.164732813835144
11,v4,v12,40.0,190.0,10.0,1.0,1.9,0.2,-8.5854,True,10.0,0.14570312481373549,17.164802193641663
12,v1,v2,40.0,10.44,20.0,1.0,0.1044,0.4,14.8545,False,10.0,0.14804687537252903,17.16211175918579
12,v1,v5,40.0,100.0,0.0,1.0,1.0,0.0,0.0,True,10.0,0.13671875,17.16484224796295
12,v1,v6,40.0,190.02,10.0,1.0,1.9002,0.2,-8.5865,True,10.0,0.14589843759313226,17.162000060081482
12,v1,v9,40.0,260.0,30.0,1.0,2.6,0.6,-14.3201,True,10.0,0.1455078125,17.159453630447388
12,v1,v10,40.0,280.02,30.0,1.0,2.8002,0.6,-14.9643,True,10.0,0.1474609375,17.166508316993713
12,v2,v1,20.0,10.44,20.0,0.6,0.1044,0.4,-5.1455,True,10.0,0.14492187509313226,17.156790614128113
12,v2,v5,20.0,110.04,20.0,0.6,1.1004,0.4,-25.6023,True,10.0,0.13125000009313226,17.1680006980896
12,v2,v6,20.0,200.0,10.0,0.6,2.0,0.2,-29.0309,True,10.0,0.12968750018626451,17.163848996162415
12,v2,v9,20.0,270.02,10.0,0.6,2.7002,0.2,-30.0,True,10.0,0.14121093787252903,17.167617201805115
12,v2,v10,20.0,290.0,10.0,0.6,2.9,0.2,-30.0,True,10.0,0.15390625037252903,17.162068605422974
12,v3,v4,20.0,70.06,0.0,0.6,0.7006,0.0,-16.9099,True,10.0,0.1396484375,17.158103466033936
12,v3,v7,20.0,100.0,20.0,0.6,1.0,0.4,-24.7712,True,10.0,0.12968750018626451,17.157809853553772
12,v3,v8,20.0,120.04,20.0,0.6,1.2004,0.4,-26.3576,True,10.0,0.15703125018626451,17.156768441200256
12,v3,v11,20.0,180.0,10.0,0.6,1.8,0.2,-28.1158,True,10.0,0.1435546875,17.15065896511078
12,v3,v12,20.0,250.02,10.0,0.6,2.5002,0.2,-30.0,True,10.0,0.14609375037252903,17.158464312553406
12,v4,v7,40.0,30.15,20.0,1.0,0.3015,0.4,5.6431,False,10.0,0.15351562481373549,17.15526521205902
12,v4,v8,40.0,50.0,20.0,1.0,0.5,0.4,1.2494,False,10.0,0.13925781287252903,17.159753918647766
12,v4,v3,40.0,70.06,0.0,1.0,0.7006,0.0,3.0901,False,10.0,0.14707031287252903,17.174885630607605
12,v4,v11,40.0,110.04,10.0,1.0,1.1004,0.2,-3.8414,True,10.0,0.14804687537252903,17.159284114837646
12,v4,v12,40.0,180.0,10.0,1.0,1.8,0.2,-8.1158,True,10.0,0.1416015625,17.165931582450867
13,v1,v2,40.0,30.15,10.0,1.0,0.3015,0.2,7.4041,False,10.0,0.14296875009313226,17.160492658615112
13,v1,v5,40.0,100.0,30.0,1.0,1.0,0.6,-6.0206,True,10.0,0.14023437537252903,17.159705638885498
13,v1,v6,40.0,180.02,0.0,1.0,1.8002,0.0,-5.1067,True,10.0,0.14785156259313226,17.164116978645325
13,v1,v9,40.0,230.0,40.0,1.0,2.3,0.8,-14.2243,True,10.0,0.14628906268626451,17.162842392921448
13,v1,v10,40.0,250.02,40.0,1.0,2.5002,0.8,-14.9491,True,10.0,0.1552734375,17.167911887168884
13,v2,v1,20.0,30.15,10.0,0.6,0.3015,0.2,-12.5959,True,10.0,0.14902343787252903,17.16018056869507
13,v2,v5,20.0,130.03,20.0,0.6,1.3003,0.4,-27.0524,True,10.0,0.1455078125,17.162861585617065
13,v2,v6,20.0,210.0,10.0,0.6,2.1,0.2,-29.4547,True,10.0,0.15351562481373549,17.161396622657776
13,v2,v9,20.0,260.02,30.0,0.6,2.6002,0.6,-30.0,True,10.0,0.15839843731373549,17.165409803390503
