time,car_ID_TX,car_ID_RX,snr_values,distance_values,rel_speed_values,snr_values_norm,distance_values_norm,rel_speed_values_norm,composite_snr_db,use_nn,model_snr,accuracy,psnr
10,v1,v2,40.0,20.22,20.0,1.0,0.2022,0.4,9.1116,False,10.0,0.41261942675159236,14.527787785621205
10,v1,v5,40.0,110.0,20.0,1.0,1.1,0.4,-5.5991,True,10.0,0.14470541401273884,17.09533110697558
10,v1,v6,40.0,190.02,10.0,1.0,1.9002,0.2,-8.5865,True,10.0,0.14500398089171976,17.096820381796284
10,v1,v9,40.0,260.0,10.0,1.0,2.6,0.2,-11.3098,True,10.0,0.14082404458598727,17.096929756699094
10,v1,v10,40.0,280.02,0.0,1.0,2.8002,0.0,-8.9437,True,10.0,0.14689490445859874,17.095451804483012
10,v2,v1,20.0,20.22,20.0,0.6,0.2022,0.4,-10.8884,True,10.0,0.1449044585987261,17.097133952341263
10,v2,v5,20.0,130.03,40.0,0.6,1.3003,0.8,-29.2709,True,10.0,0.14171974522292993,17.09472454581291
10,v2,v6,20.0,210.0,10.0,0.6,2.1,0.2,-29.4547,True,10.0,0.14171974522292993,17.098124412973974
10,v2,v9,20.0,280.02,30.0,0.6,2.8002,0.6,-30.0,True,10.0,0.14470541401273884,17.097508776719405
10,v2,v10,20.0,300.0,20.0,0.6,3.0,0.4,-30.0,True,10.0,0.14629777070063693,17.094006483721884
10,v3,v4,20.0,50.09,30.0,0.6,0.5009,0.6,-20.0156,True,10.0,0.14689490445859874,17.09585372050097
10,v3,v7,20.0,100.0,30.0,0.6,1.0,0.6,-26.0206,True,10.0,0.14301353503184713,17.09560255791731
10,v3,v8,20.0,130.03,10.0,0.6,1.3003,0.2,-25.2915,True,10.0,0.14599920382165604,17.081734062000443
10,v3,v11,20.0,220.0,0.0,0.6,2.2,0.0,-26.8485,True,10.0,0.14589968152866242,17.093915805695165
10,v3,v15,20.0,220.0,50.0,0.6,2.2,1.0,-30.0,True,10.0,0.14022691082802546,17.0955150993007
10,v4,v3,40.0,50.09,30.0,1.0,0.5009,0.6,-0.0156,True,10.0,0.14570063694267515,17.097331502635008
10,v4,v7,40.0,50.09,0.0,1.0,0.5009,0.0,6.005,False,10.0,0.2522890127388535,11.421046421026729
10,v4,v8,40.0,80.0,20.0,1.0,0.8,0.4,-2.833,True,10.0,0.14132165605095542,17.095013260082077
10,v4,v12,40.0,170.0,20.0,1.0,1.7,0.4,-9.3802,True,10.0,0.1458001592356688,17.09617121508167
