time,car_ID_TX,car_ID_RX,snr_values,distance_values,rel_speed_values,snr_values_norm,distance_values_norm,rel_speed_values_norm,composite_snr_db,use_nn,model_snr,accuracy,psnr
10,v1,v2,40.0,20.22,20.0,1.0,0.2022,0.4,9.1116,False,10.0,0.42539062537252903,14.478569686412811
10,v1,v5,40.0,110.0,20.0,1.0,1.1,0.4,-5.5991,True,10.0,0.12519531254656613,-0.23161201737821102
10,v1,v6,40.0,190.02,10.0,1.0,1.9002,0.2,-8.5865,True,10.0,0.07968750037252903,-3.2213587313890457
10,v1,v9,40.0,260.0,10.0,1.0,2.6,0.2,-11.3098,True,10.0,0.07304687518626451,-5.944456338882446
10,v1,v10,40.0,280.02,0.0,1.0,2.8002,0.0,-8.9437,True,10.0,0.07246093754656613,-3.5793163925409317
10,v2,v1,20.0,20.22,20.0,0.6,0.2022,0.4,-10.8884,True,10.0,0.07578125002328306,-5.522205263376236
10,v2,v5,20.0,130.03,40.0,0.6,1.3003,0.8,-29.2709,True,10.0,0.1025390625,-23.905784606933594
10,v2,v6,20.0,210.0,10.0,0.6,2.1,0.2,-29.4547,True,10.0,0.1025390625,-24.089019179344177
10,v2,v9,20.0,280.02,30.0,0.6,2.8002,0.6,-30.0,True,10.0,0.1025390625,-24.632086753845215
10,v2,v10,20.0,300.0,20.0,0.6,3.0,0.4,-30.0,True,10.0,0.1025390625,-24.633492827415466
10,v3,v4,20.0,50.09,30.0,0.6,0.5009,0.6,-20.0156,True,10.0,0.1005859375,-14.650276958942413
10,v3,v7,20.0,100.0,30.0,0.6,1.0,0.6,-26.0206,True,10.0,0.1025390625,-20.654412984848022
10,v3,v8,20.0,130.03,10.0,0.6,1.3003,0.2,-25.2915,True,10.0,0.1015625,-19.92488169670105
10,v3,v11,20.0,220.0,0.0,0.6,2.2,0.0,-26.8485,True,10.0,0.1025390625,-21.481220245361328
10,v3,v15,20.0,220.0,50.0,0.6,2.2,1.0,-30.0,True,10.0,0.1025390625,-24.63411235809326
10,v4,v3,40.0,50.09,30.0,1.0,0.5009,0.6,-0.0156,True,10.0,0.13691406254656613,5.351238995790482
10,v4,v7,40.0,50.09,0.0,1.0,0.5009,0.0,6.005,False,10.0,0.2546875001862645,11.371198654174805
10,v4,v8,40.0,80.0,20.0,1.0,0.8,0.4,-2.833,True,10.0,0.13847656268626451,2.5339476615190506
10,v4,v12,40.0,170.0,20.0,1.0,1.7,0.4,-9.3802,True,10.0,0.07890625018626451,-4.014320075511932
10,v4,v16,40.0,170.0,20.0,1.0,1.7,0.4,-9.3802,True,10.0,0.07675781287252903,-4.013991564512253
